epoch,learning_rate,loss,val_loss
0,0.0010000000474974513,-6.126368999481201,-5.484188556671143
1,0.0010000000474974513,-6.13454008102417,-5.500834941864014
2,0.0010000000474974513,-6.14113712310791,-5.4278717041015625
3,0.0010000000474974513,-6.146389007568359,-5.485326766967773
4,0.0010000000474974513,-6.152474403381348,-5.469569683074951
5,0.0010000000474974513,-6.1565093994140625,-5.487345218658447
6,0.0010000000474974513,-6.171054840087891,-5.46744966506958
7,0.0010000000474974513,-6.1647443771362305,-5.4895453453063965
8,0.0010000000474974513,-6.173358917236328,-5.4351677894592285
9,0.0010000000474974513,-6.182346343994141,-5.46561861038208
10,0.0010000000474974513,-6.1781158447265625,-5.490983486175537
11,0.0010000000474974513,-6.188170433044434,-5.501308441162109
12,0.0010000000474974513,-6.19180154800415,-5.4874267578125
13,0.0010000000474974513,-6.194438457489014,-5.461246967315674
14,0.0010000000474974513,-6.198957920074463,-5.451744556427002
15,0.0010000000474974513,-6.206087112426758,-5.463703632354736
16,0.0010000000474974513,-6.203590393066406,-5.4615559577941895
17,0.0010000000474974513,-6.2146501541137695,-5.477816104888916
18,0.0010000000474974513,-6.217992305755615,-5.47798490524292
19,0.0010000000474974513,-6.217174053192139,-5.463724613189697
20,0.0010000000474974513,-6.224557876586914,-5.4680962562561035
21,0.0010000000474974513,-6.231250286102295,-5.505977153778076
22,0.0010000000474974513,-6.233388900756836,-5.446403503417969
23,0.0010000000474974513,-6.2330546379089355,-5.494368553161621
24,0.0010000000474974513,-6.241480350494385,-5.496529579162598
25,0.0010000000474974513,-6.237806797027588,-5.464853763580322
26,0.0010000000474974513,-6.245459079742432,-5.452805519104004
27,0.0010000000474974513,-6.244513511657715,-5.449051380157471
28,0.0010000000474974513,-6.249265670776367,-5.485681056976318
29,0.0010000000474974513,-6.258241176605225,-5.477461814880371
30,0.0010000000474974513,-6.248689651489258,-5.486500263214111
31,0.0010000000474974513,-6.255164623260498,-5.481494903564453
32,0.0010000000474974513,-6.2613091468811035,-5.476760387420654
33,0.0010000000474974513,-6.264149188995361,-5.482330799102783
34,0.0010000000474974513,-6.265499114990234,-5.461890697479248
35,0.0010000000474974513,-6.266757011413574,-5.486413478851318
36,0.0010000000474974513,-6.269765377044678,-5.472527503967285
37,0.0010000000474974513,-6.274665832519531,-5.488963603973389
38,0.0010000000474974513,-6.279671669006348,-5.479094505310059
39,0.0010000000474974513,-6.282181262969971,-5.475485324859619
40,0.0010000000474974513,-6.280162811279297,-5.477206707000732
41,0.0010000000474974513,-6.289680004119873,-5.485967636108398
42,0.0010000000474974513,-6.285367488861084,-5.471134185791016
43,0.0010000000474974513,-6.288655757904053,-5.470861911773682
44,0.0010000000474974513,-6.299357891082764,-5.499003887176514
45,0.0010000000474974513,-6.294204235076904,-5.481662273406982
46,0.0010000000474974513,-6.2973103523254395,-5.487192153930664
47,0.0010000000474974513,-6.296770095825195,-5.494492053985596
48,0.0005000000237487257,-6.37516450881958,-5.473374843597412
49,0.0005000000237487257,-6.392801761627197,-5.502945423126221
50,0.0005000000237487257,-6.400841236114502,-5.494996547698975
51,0.0005000000237487257,-6.408391952514648,-5.46216344833374
52,0.0005000000237487257,-6.410761833190918,-5.485996246337891
53,0.0005000000237487257,-6.414611339569092,-5.480372905731201
54,0.0005000000237487257,-6.41694974899292,-5.495319366455078
55,0.0005000000237487257,-6.419782638549805,-5.490952968597412
56,0.0005000000237487257,-6.4242024421691895,-5.493959426879883
57,0.0005000000237487257,-6.426547527313232,-5.475838661193848
58,0.0005000000237487257,-6.429381847381592,-5.495243549346924
59,0.0005000000237487257,-6.430233001708984,-5.472964286804199
60,0.0005000000237487257,-6.43374490737915,-5.467435359954834
61,0.0005000000237487257,-6.432784080505371,-5.474372863769531
62,0.0005000000237487257,-6.434021472930908,-5.485074043273926
63,0.0005000000237487257,-6.439600944519043,-5.490818977355957
64,0.0005000000237487257,-6.4399871826171875,-5.469120025634766
65,0.0005000000237487257,-6.443400859832764,-5.472297668457031
66,0.0005000000237487257,-6.443541526794434,-5.472507476806641
67,0.0005000000237487257,-6.44594144821167,-5.464962959289551
68,0.0005000000237487257,-6.446983814239502,-5.4694414138793945
69,0.0005000000237487257,-6.448671817779541,-5.474922180175781
70,0.0005000000237487257,-6.4506330490112305,-5.451704978942871
71,0.0005000000237487257,-6.453057765960693,-5.457298755645752
72,0.0005000000237487257,-6.451170444488525,-5.473076343536377
73,0.0005000000237487257,-6.453294277191162,-5.4684367179870605
74,0.0005000000237487257,-6.4567999839782715,-5.4632887840271
75,0.0005000000237487257,-6.4582719802856445,-5.485727787017822
76,0.0005000000237487257,-6.45862340927124,-5.434564590454102
77,0.0005000000237487257,-6.460211753845215,-5.451011657714844
78,0.0005000000237487257,-6.4602837562561035,-5.445823669433594
79,0.0005000000237487257,-6.4613142013549805,-5.439340114593506
80,0.0005000000237487257,-6.465275287628174,-5.430783748626709
81,0.0005000000237487257,-6.465278148651123,-5.4446892738342285
82,0.0005000000237487257,-6.464524745941162,-5.4577178955078125
83,0.0005000000237487257,-6.468608379364014,-5.452942848205566
84,0.0005000000237487257,-6.4703850746154785,-5.430395126342773
85,0.0005000000237487257,-6.4708251953125,-5.449422836303711
86,0.0005000000237487257,-6.470848083496094,-5.462863445281982
87,0.0005000000237487257,-6.471419334411621,-5.444864273071289
88,0.0005000000237487257,-6.474425792694092,-5.455995559692383
89,0.0005000000237487257,-6.472858905792236,-5.435049533843994
90,0.0005000000237487257,-6.476548671722412,-5.458746433258057
91,0.0005000000237487257,-6.476546764373779,-5.438429355621338
92,0.0005000000237487257,-6.480717658996582,-5.446115493774414
93,0.0005000000237487257,-6.478672027587891,-5.456907749176025
94,0.0005000000237487257,-6.480138301849365,-5.439098358154297
95,0.0005000000237487257,-6.4788594245910645,-5.438967704772949
96,0.0002500000118743628,-6.517080783843994,-5.456605434417725
97,0.0002500000118743628,-6.5244035720825195,-5.442136287689209
98,0.0002500000118743628,-6.529097080230713,-5.443263053894043
99,0.0002500000118743628,-6.529067516326904,-5.447638988494873
100,0.0002500000118743628,-6.5330400466918945,-5.449765682220459
101,0.0002500000118743628,-6.5325212478637695,-5.429047107696533
102,0.0002500000118743628,-6.536371231079102,-5.428096294403076
103,0.0002500000118743628,-6.535583019256592,-5.434860706329346
104,0.0002500000118743628,-6.539389610290527,-5.443711757659912
105,0.0002500000118743628,-6.540923595428467,-5.431356906890869
106,0.0002500000118743628,-6.539478302001953,-5.436092376708984
107,0.0002500000118743628,-6.5402116775512695,-5.436964988708496
108,0.0002500000118743628,-6.542179107666016,-5.420691967010498
109,0.0002500000118743628,-6.5432634353637695,-5.422421455383301
110,0.0002500000118743628,-6.5447492599487305,-5.430582523345947
111,0.0002500000118743628,-6.546095371246338,-5.421520233154297
112,0.0002500000118743628,-6.545525550842285,-5.428972244262695
113,0.0002500000118743628,-6.545424461364746,-5.430643558502197
114,0.0002500000118743628,-6.546506404876709,-5.43927001953125
115,0.0002500000118743628,-6.548050880432129,-5.429759979248047
116,0.0002500000118743628,-6.548620700836182,-5.409176826477051
117,0.0002500000118743628,-6.55073881149292,-5.444730281829834
118,0.0002500000118743628,-6.549272060394287,-5.41569185256958
119,0.0002500000118743628,-6.551717758178711,-5.425819396972656
120,0.0002500000118743628,-6.55217170715332,-5.430644989013672
121,0.0002500000118743628,-6.553186893463135,-5.413286209106445
122,0.0002500000118743628,-6.554627895355225,-5.416598796844482
123,0.0002500000118743628,-6.554102420806885,-5.425405502319336
124,0.0002500000118743628,-6.554664611816406,-5.41135835647583
125,0.0002500000118743628,-6.556830406188965,-5.415035247802734
126,0.0002500000118743628,-6.554431438446045,-5.419653415679932
127,0.0002500000118743628,-6.557484149932861,-5.407670974731445
128,0.0002500000118743628,-6.556947708129883,-5.429027080535889
129,0.0002500000118743628,-6.556918144226074,-5.414218425750732
130,0.0002500000118743628,-6.559919357299805,-5.405118942260742
131,0.0002500000118743628,-6.558783531188965,-5.417705535888672
132,0.0002500000118743628,-6.561220169067383,-5.4116010665893555
133,0.0002500000118743628,-6.559474945068359,-5.409275531768799
134,0.0002500000118743628,-6.561708450317383,-5.408120155334473
135,0.0002500000118743628,-6.559155464172363,-5.419408798217773
